# tildes-es.tsv — mapa de restauración de tildes (generado, NO editar a mano)
# Generador: scripts/gen-tildes.ts  |  Regla: entra solo si la forma sin
# tilde NO es palabra española válida y la restauración es única.
# Fuente: RLA-ES via LibreOffice/dictionaries (MPL 1.1)
# es_ES.dic sha256=6975dddec3d5d2c676069537bc67b4b5f786c65c5d4cf6703a82acf779ac9ec1
# es_ES.aff sha256=e73a9bf8e1383f4986a5dc9e2fbed49371c0c61f511c626d15586bd433c1cad9
# pares=157895
abaca	abacá
gorroneais	gorroneáis
gorroneandose	gorroneándose
gorronearamos	gorroneáramos
gorronearia	gorronearía
gorroneariais	gorronearíais
gorroneariamos	gorronearíamos
gorronearian	gorronearían
gorronearias	gorronearías
gorroneasemos	gorroneásemos
gorroneeis	gorroneéis
gospel	góspel
gospeles	góspeles
goteabamos	goteábamos
goteais	goteáis
goteandose	goteándose
gotearamos	goteáramos
gotearia	gotearía
goteariais	gotearíais
goteariamos	gotearíamos
gotearian	gotearían
gotearias	gotearías
goteasemos	goteásemos
goteeis	goteéis
gotica	gótica
goticas	góticas
gotico	gótico
goticos	góticos
gozabamos	gozábamos
gozais	gozáis
gozandose	gozándose
gozaramos	gozáramos
gozaria	gozaría
gozariais	gozaríais
gozariamos	gozaríamos
gozarian	gozarían
gozarias	gozarías
gozasemos	gozásemos
grababamos	grabábamos
grabacion	grabación
grabais	grabáis
grabala	grábala
grabalas	grábalas
grabalo	grábalo
grabalos	grábalos
grabame	grábame
grabandola	grabándola
grabandolas	grabándolas
grabandolo	grabándolo
grabandolos	grabándolos
grabandome	grabándome
grabandonos	grabándonos
grabandoos	grabándoos
grabandose	grabándose
grabandote	grabándote
grabanos	grábanos
grabaramos	grabáramos
grabaria	grabaría
grabariais	grabaríais
grabariamos	grabaríamos
grabarian	grabarían
grabarias	grabarías
grabasemos	grabásemos
grabate	grábate
grabeis	grabéis
gracejabamos	gracejábamos
gracejais	gracejáis
gracejandose	gracejándose
gracejaramos	gracejáramos
gracejaria	gracejaría
gracejariais	gracejaríais
gracejariamos	gracejaríamos
gracejarian	gracejarían
gracejarias	gracejarías
gracejasemos	gracejásemos
gracejeis	gracejéis
gracil	grácil
graciles	gráciles
gradabamos	gradábamos
gradacion	gradación
gradais	gradáis
gradandose	gradándose
gradaramos	gradáramos
gradaria	gradaría
gradariais	gradaríais
gradariamos	gradaríamos
gradarian	gradarían
gradarias	gradarías
gradasemos	gradásemos
gradeis	gradéis
graderia	gradería
graderias	graderías
graderio	graderío
graderios	graderíos
gradua	gradúa
graduabamos	graduábamos
graduacion	graduación
graduais	graduáis
graduan	gradúan
graduandose	graduándose
graduaramos	graduáramos
graduaria	graduaría
graduariais	graduaríais
graduariamos	graduaríamos
graduarian	graduarían
graduarias	graduarías
graduas	gradúas
graduasemos	graduásemos
gradueis	graduéis
graduen	gradúen
gradues	gradúes
grafia	grafía
grafias	grafías
grafica	gráfica
graficamente	gráficamente
graficas	gráficas
grafico	gráfico
graficos	gráficos
grajeabamos	grajeábamos
grajeais	grajeáis
grajeandose	grajeándose
grajearamos	grajeáramos
grajearia	grajearía
grajeariais	grajearíais
grajeariamos	grajearíamos
grajearian	grajearían
grajearias	grajearías
grajeasemos	grajeásemos
grajeeis	grajeéis
gramabamos	gramábamos
gramais	gramáis
gramandose	gramándose
gramaramos	gramáramos
gramaria	gramaría
gramariais	gramaríais
gramariamos	gramaríamos
gramarian	gramarían
gramarias	gramarías
gramasemos	gramásemos
gramatica	gramática
gramaticas	gramáticas
gramatico	gramático
gramaticos	gramáticos
gramatiqueabamos	gramatiqueábamos
gramatiqueais	gramatiqueáis
gramatiqueandose	gramatiqueándose
gramatiquearamos	gramatiqueáramos
gramatiquearia	gramatiquearía
gramatiqueariais	gramatiquearíais
gramatiqueariamos	gramatiquearíamos
gramatiquearian	gramatiquearían
gramatiquearias	gramatiquearías
gramatiqueasemos	gramatiqueásemos
gramatiqueeis	gramatiqueéis
grameis	graméis
graminea	gramínea
gramineas	gramíneas
gramineo	gramíneo
gramineos	gramíneos
gramofono	gramófono
gramofonos	gramófonos
granabamos	granábamos
granais	granáis
granallabamos	granallábamos
granallais	granalláis
granallandose	granallándose
granallaramos	granalláramos
granallaria	granallaría
granallariais	granallaríais
granallariamos	granallaríamos
granallarian	granallarían
granallarias	granallarías
granallasemos	granallásemos
granalleis	granalléis
granandose	granándose
granaramos	granáramos
granaria	granaría
granariais	granaríais
granariamos	granaríamos
granarian	granarían
granarias	granarías
granasemos	granásemos
grandisima	grandísima
grandisimas	grandísimas
grandisimo	grandísimo
grandisimos	grandísimos
grandisonabamos	grandisonábamos
grandisonais	grandisonáis
grandisonandose	grandisonándose
grandisonaramos	grandisonáramos
grandisonaria	grandisonaría
grandisonariais	grandisonaríais
grandisonariamos	grandisonaríamos
grandisonarian	grandisonarían
grandisonarias	grandisonarías
grandisonasemos	grandisonásemos
grandisone	grandisoné
grandisoneis	grandisonéis
grandisono	grandisonó
grandullon	grandullón
graneabamos	graneábamos
graneais	graneáis
graneandose	graneándose
granearamos	graneáramos
granearia	granearía
graneariais	granearíais
graneariamos	granearíamos
granearian	granearían
granearias	granearías
graneasemos	graneásemos
graneeis	graneéis
graneis	granéis
graniceis	granicéis
granitica	granítica
graniticas	graníticas
granitico	granítico
graniticos	graníticos
granivora	granívora
granivoras	granívoras
granivoro	granívoro
granivoros	granívoros
granizabamos	granizábamos
granizais	granizáis
granizandose	granizándose
granizaramos	granizáramos
granizaria	granizaría
granizariais	granizaríais
granizariamos	granizaríamos
granizarian	granizarían
granizarias	granizarías
granizasemos	granizásemos
granjeabamos	granjeábamos
granjeais	granjeáis
granjeandose	granjeándose
granjearamos	granjeáramos
granjearia	granjearía
granjeariais	granjearíais
granjeariamos	granjearíamos
granjearian	granjearían
granjearias	granjearías
granjeasemos	granjeásemos
granjeeis	granjeéis
granjeria	granjería
granjerias	granjerías
granulabamos	granulábamos
granulais	granuláis
granulandose	granulándose
granularamos	granuláramos
granularia	granularía
granulariais	granularíais
granulariamos	granularíamos
granularian	granularían
granularias	granularías
granulasemos	granulásemos
granuleis	granuléis
granulometria	granulometría
granulometrias	granulometrías
granulos	gránulos
grapabamos	grapábamos
grapais	grapáis
grapandose	grapándose
graparamos	grapáramos
graparia	graparía
grapariais	graparíais
grapariamos	graparíamos
graparian	graparían
graparias	graparías
grapasemos	grapásemos
grapeis	grapéis
gratabamos	gratábamos
gratais	gratáis
gratandose	gratándose
grataramos	gratáramos
grataria	grataría
gratariais	grataríais
gratariamos	grataríamos
gratarian	gratarían
gratarias	gratarías
gratasemos	gratásemos
grateis	gratéis
gratificabamos	gratificábamos
gratificacion	gratificación
gratificais	gratificáis
gratificandola	gratificándola
gratificandolas	gratificándolas
gratificandolo	gratificándolo
gratificandolos	gratificándolos
gratificandose	gratificándose
gratificaramos	gratificáramos
gratificaria	gratificaría
gratificariais	gratificaríais
gratificariamos	gratificaríamos
gratificarian	gratificarían
gratificarias	gratificarías
gratificasemos	gratificásemos
gratifiqueis	gratifiquéis
gratinabamos	gratinábamos
gratinais	gratináis
gratinala	gratínala
gratinalas	gratínalas
gratinalo	gratínalo
gratinalos	gratínalos
gratinandose	gratinándose
gratinaramos	gratináramos
gratinaria	gratinaría
gratinariais	gratinaríais
gratinariamos	gratinaríamos
gratinarian	gratinarían
gratinarias	gratinarías
gratinasemos	gratinásemos
gratineis	gratinéis
gratulabamos	gratulábamos
gratulais	gratuláis
gratulandose	gratulándose
gratularamos	gratuláramos
gratularia	gratularía
gratulariais	gratularíais
gratulariamos	gratularíamos
gratularian	gratularían
gratularias	gratularías
gratulasemos	gratulásemos
gratuleis	gratuléis
gravabamos	gravábamos
gravais	graváis
gravamenes	gravámenes
gravandose	gravándose
gravaramos	graváramos
gravaria	gravaría
gravariais	gravaríais
gravariamos	gravaríamos
gravarian	gravarían
gravarias	gravarías
gravasemos	gravásemos
graveis	gravéis
gravida	grávida
gravidas	grávidas
gravido	grávido
gravidos	grávidos
gravimetria	gravimetría
gravimetrias	gravimetrías
gravimetrica	gravimétrica
gravimetricas	gravimétricas
gravimetrico	gravimétrico
gravimetricos	gravimétricos
gravimetro	gravímetro
gravimetros	gravímetros
gravitabamos	gravitábamos
gravitacion	gravitación
gravitais	gravitáis
gravitandose	gravitándose
gravitaramos	gravitáramos
gravitaria	gravitaría
gravitariais	gravitaríais
gravitariamos	gravitaríamos
gravitarian	gravitarían
gravitarias	gravitarías
gravitasemos	gravitásemos
graviteis	gravitéis
gravitomagnetica	gravitomagnética
gravitomagneticas	gravitomagnéticas
gravitomagnetico	gravitomagnético
gravitomagneticos	gravitomagnéticos
graznabamos	graznábamos
graznais	graznáis
graznandose	graznándose
graznaramos	graznáramos
graznaria	graznaría
graznariais	graznaríais
graznariamos	graznaríamos
graznarian	graznarían
graznarias	graznarías
graznasemos	graznásemos
grazneis	graznéis
greciceis	grecicéis
grecizabamos	grecizábamos
grecizais	grecizáis
grecizandose	grecizándose
grecizaramos	grecizáramos
grecizaria	grecizaría
grecizariais	grecizaríais
grecizariamos	grecizaríamos
grecizarian	grecizarían
grecizarias	grecizarías
grecizasemos	grecizásemos
greguiceis	greguicéis
greguizabamos	greguizábamos
greguizais	greguizáis
greguizandose	greguizándose
greguizaramos	greguizáramos
greguizaria	greguizaría
greguizariais	greguizaríais
greguizariamos	greguizaríamos
greguizarian	greguizarían
greguizarias	greguizarías
greguizasemos	greguizásemos
grietabamos	grietábamos
grietais	grietáis
grietandose	grietándose
grietaramos	grietáramos
grietaria	grietaría
grietariais	grietaríais
grietariamos	grietaríamos
grietarian	grietarían
grietarias	grietarías
grietasemos	grietásemos
grieteabamos	grieteábamos
grieteais	grieteáis
grieteandose	grieteándose
grietearamos	grieteáramos
grietearia	grietearía
grieteariais	grietearíais
grieteariamos	grietearíamos
grietearian	grietearían
grietearias	grietearías
grieteasemos	grieteásemos
grieteeis	grieteéis
grieteis	grietéis
grifabamos	grifábamos
grifais	grifáis
grifandose	grifándose
grifaramos	grifáramos
grifaria	grifaría
grifariais	grifaríais
grifariamos	grifaríamos
grifarian	grifarían
grifarias	grifarías
grifasemos	grifásemos
grifeis	griféis
grillabamos	grillábamos
grillais	grilláis
grillandose	grillándose
grillaramos	grilláramos
grillaria	grillaría
grillariais	grillaríais
grillariamos	grillaríamos
grillarian	grillarían
grillarias	grillarías
grillasemos	grillásemos
grilleis	grilléis
grisacea	grisácea
grisaceas	grisáceas
grisaceo	grisáceo
grisaceos	grisáceos
griseabamos	griseábamos
griseais	griseáis
griseandose	griseándose
grisearamos	griseáramos
grisearia	grisearía
griseariais	grisearíais
griseariamos	grisearíamos
grisearian	grisearían
grisearias	grisearías
griseasemos	griseásemos
griseeis	griseéis
griseos	gríseos
grisu	grisú
grisues	grisúes
grisus	grisús
gritabamos	gritábamos
gritais	gritáis
gritala	grítala
gritalas	grítalas
gritalo	grítalo
gritalos	grítalos
gritandola	gritándola
gritandolas	gritándolas
gritandole	gritándole
gritandoles	gritándoles
gritandolo	gritándolo
gritandolos	gritándolos
gritandome	gritándome
gritandonos	gritándonos
gritandoos	gritándoos
gritandose	gritándose
gritandote	gritándote
gritaramos	gritáramos
gritaria	gritaría
gritariais	gritaríais
gritariamos	gritaríamos
gritarian	gritarían
gritarias	gritarías
gritarmela	gritármela
gritarmelas	gritármelas
gritarmelo	gritármelo
gritarmelos	gritármelos
gritarnosla	gritárnosla
gritarnoslas	gritárnoslas
gritarnoslo	gritárnoslo
gritarnoslos	gritárnoslos
gritarosla	gritárosla
gritaroslas	gritároslas
gritaroslo	gritároslo
gritaroslos	gritároslos
gritarsela	gritársela
gritarselas	gritárselas
gritarselo	gritárselo
gritarselos	gritárselos
gritartela	gritártela
gritartelas	gritártelas
gritartelo	gritártelo
gritartelos	gritártelos
gritasemos	gritásemos
griteis	gritéis
gritele	grítele
griteles	gríteles
gritenle	grítenle
gritenles	grítenles
griteria	gritería
griterias	griterías
griterio	griterío
griterios	griteríos
griton	gritón
groabamos	groábamos
groais	groáis
groandose	groándose
groaramos	groáramos
groaria	groaría
groariais	groaríais
groariamos	groaríamos
groarian	groarían
groarias	groarías
groasemos	groásemos
groeis	groéis
groseria	grosería
groserias	groserías
grua	grúa
gruas	grúas
grui	gruí
gruia	gruía
gruiais	gruíais
gruiamos	gruíamos
gruian	gruían
gruias	gruías
gruira	gruirá
gruiran	gruirán
gruiras	gruirás
gruire	gruiré
gruireis	gruiréis
gruiria	gruiría
gruiriais	gruiríais
gruiriamos	gruiríamos
gruirian	gruirían
gruirias	gruirías
gruis	gruís
grujais	grujáis
gruji	grují
grujia	grujía
grujiais	grujíais
grujiamos	grujíamos
grujian	grujían
grujias	grujías
grujiendose	grujiéndose
grujieramos	grujiéramos
grujieremos	grujiéremos
grujiesemos	grujiésemos
grujio	grujió
grujira	grujirá
grujiran	grujirán
grujiras	grujirás
grujire	grujiré
grujireis	grujiréis
grujiria	grujiría
grujiriais	grujiríais
grujiriamos	grujiríamos
grujirian	grujirían
grujirias	grujirías
grujis	grujís
gruñais	gruñáis
gruñendose	gruñéndose
gruñeramos	gruñéramos
gruñeremos	gruñéremos
gruñesemos	gruñésemos
gruñi	gruñí
gruñia	gruñía
gruñiais	gruñíais
gruñiamos	gruñíamos
gruñian	gruñían
gruñias	gruñías
gruñira	gruñirá
gruñiran	gruñirán
gruñiras	gruñirás
gruñire	gruñiré
gruñireis	gruñiréis
gruñiria	gruñiría
gruñiriais	gruñiríais
gruñiriamos	gruñiríamos
gruñirian	gruñirían
gruñirias	gruñirías
gruñis	gruñís
gruñon	gruñón
grupusculo	grupúsculo
grupusculos	grupúsculos
gruyais	gruyáis
gruyendose	gruyéndose
gruyeramos	gruyéramos
gruyeremos	gruyéremos
gruyesemos	gruyésemos
guachapeabamos	guachapeábamos
guachapeais	guachapeáis
guachapeandose	guachapeándose
guachapearamos	guachapeáramos
guachapearia	guachapearía
guachapeariais	guachapearíais
guachapeariamos	guachapearíamos
guachapearian	guachapearían
guachapearias	guachapearías
guachapeasemos	guachapeásemos
guachapeeis	guachapeéis
guachara	guáchara
guacharas	guácharas
guacharo	guácharo
guacharos	guácharos
guadaira	guadaíra
guadameci	guadamecí
guadamecies	guadamecíes
guadamecis	guadamecís
guadañabamos	guadañábamos
guadañais	guadañáis
guadañandose	guadañándose
guadañaramos	guadañáramos
guadañaria	guadañaría
guadañariais	guadañaríais
guadañariamos	guadañaríamos
guadañarian	guadañarían
guadañarias	guadañarías
guadañasemos	guadañásemos
guadañeis	guadañéis
guadrapeabamos	guadrapeábamos
guadrapeais	guadrapeáis
guadrapeandose	guadrapeándose
guadrapearamos	guadrapeáramos
guadrapearia	guadrapearía
guadrapeariais	guadrapearíais
guadrapeariamos	guadrapearíamos
guadrapearian	guadrapearían
guadrapearias	guadrapearías
guadrapeasemos	guadrapeásemos
guadrapeeis	guadrapeéis
guaicuru	guaicurú
guaicurues	guaicurúes
guaicurus	guaicurús
gualardon	gualardón
gualdrapeabamos	gualdrapeábamos
gualdrapeais	gualdrapeáis
gualdrapeandose	gualdrapeándose
gualdrapearamos	gualdrapeáramos
gualdrapearia	gualdrapearía
gualdrapeariais	gualdrapearíais
gualdrapeariamos	gualdrapearíamos
gualdrapearian	gualdrapearían
gualdrapearias	gualdrapearías
gualdrapeasemos	gualdrapeásemos
gualdrapeeis	gualdrapeéis
guanabano	guanábano
guanabanos	guanábanos
guanteabamos	guanteábamos
guanteais	guanteáis
guanteandose	guanteándose
guantearamos	guanteáramos
guantearia	guantearía
guanteariais	guantearíais
guanteariamos	guantearíamos
guantearian	guantearían
guantearias	guantearías
guanteasemos	guanteásemos
guanteeis	guanteéis
guapeabamos	guapeábamos
guapeais	guapeáis
guapeandose	guapeándose
guapearamos	guapeáramos
guapearia	guapearía
guapeariais	guapearíais
guapeariamos	guapearíamos
guapearian	guapearían
guapearias	guapearías
guapeasemos	guapeásemos
guapeeis	guapeéis
guapeton	guapetón
guapisima	guapísima
guapisimas	guapísimas
guapisimo	guapísimo
guapisimos	guapísimos
guarais	guaráis
guarani	guaraní
guaranies	guaraníes
guaranis	guaranís
guardabamos	guardábamos
guardais	guardáis
guardala	guárdala
guardalas	guárdalas
guardalo	guárdalo
guardalos	guárdalos
guardandola	guardándola
guardandolas	guardándolas
guardandole	guardándole
guardandoles	guardándoles
guardandolo	guardándolo
guardandolos	guardándolos
guardandome	guardándome
guardandonos	guardándonos
guardandoos	guardándoos
guardandose	guardándose
guardandote	guardándote
guardapies	guardapiés
guardaramos	guardáramos
guardaria	guardaría
guardariais	guardaríais
guardariamos	guardaríamos
guardarian	guardarían
guardarias	guardarías
guardarmela	guardármela
guardarmelas	guardármelas
guardarmelo	guardármelo
guardarmelos	guardármelos
guardarnosla	guardárnosla
guardarnoslas	guardárnoslas
guardarnoslo	guardárnoslo
guardarnoslos	guardárnoslos
guardarosla	guardárosla
guardaroslas	guardároslas
guardaroslo	guardároslo
guardaroslos	guardároslos
guardarropia	guardarropía
guardarropias	guardarropías
guardarsela	guardársela
guardarselas	guardárselas
guardarselo	guardárselo
guardarselos	guardárselos
guardartela	guardártela
guardartelas	guardártelas
guardartelo	guardártelo
guardartelos	guardártelos
guardasemos	guardásemos
guardate	guárdate
guardeis	guardéis
guardela	guárdela
guardelas	guárdelas
guardelo	guárdelo
guardelos	guárdelos
guardeme	guárdeme
guardemonos	guardémonos
guardenla	guárdenla
guardenlas	guárdenlas
guardenlo	guárdenlo
guardenlos	guárdenlos
guardenme	guárdenme
guardennos	guárdennos
guardenos	guárdenos
guardense	guárdense
guarderia	guardería
guarderias	guarderías
guardese	guárdese
guardian	guardián
guardin	guardín
guareceis	guarecéis
guarecera	guarecerá
guareceran	guarecerán
guareceras	guarecerás
guarecere	guareceré
guarecereis	guareceréis
guareceria	guarecería
guareceriais	guareceríais
guareceriamos	guareceríamos
guarecerian	guarecerían
guarecerias	guarecerías
guareci	guarecí
guarecia	guarecía
guareciais	guarecíais
guareciamos	guarecíamos
guarecian	guarecían
guarecias	guarecías
guareciendose	guareciéndose
guarecieramos	guareciéramos
guarecieremos	guareciéremos
guareciesemos	guareciésemos
guarecio	guareció
guarezcais	guarezcáis
guari	guarí
guaria	guaría
guariais	guaríais
guariamos	guaríamos
guarian	guarían
guarias	guarías
guariendose	guariéndose
guarieramos	guariéramos
guarieremos	guariéremos
guariesemos	guariésemos
guario	guarió
guarira	guarirá
guariran	guarirán
guariras	guarirás
guarire	guariré
guarireis	guariréis
guariria	guariría
guaririais	guariríais
guaririamos	guariríamos
guaririan	guarirían
guaririas	guarirías
guaris	guarís
guarnais	guarnáis
guarneceis	guarnecéis
guarnecera	guarnecerá
guarneceran	guarnecerán
guarneceras	guarnecerás
guarnecere	guarneceré
guarnecereis	guarneceréis
guarneceria	guarnecería
guarneceriais	guarneceríais
guarneceriamos	guarneceríamos
guarnecerian	guarnecerían
guarnecerias	guarnecerías
guarneci	guarnecí
guarnecia	guarnecía
guarneciais	guarnecíais
guarneciamos	guarnecíamos
guarnecian	guarnecían
guarnecias	guarnecías
guarneciendose	guarneciéndose
guarnecieramos	guarneciéramos
guarnecieremos	guarneciéremos
guarneciesemos	guarneciésemos
guarnecio	guarneció
guarnezcais	guarnezcáis
guarni	guarní
guarnia	guarnía
guarniais	guarníais
guarniamos	guarníamos
guarnian	guarnían
guarnias	guarnías
guarnicion	guarnición
guarnicionabamos	guarnicionábamos
guarnicionais	guarnicionáis
guarnicionandose	guarnicionándose
guarnicionaramos	guarnicionáramos
guarnicionaria	guarnicionaría
guarnicionariais	guarnicionaríais
guarnicionariamos	guarnicionaríamos
guarnicionarian	guarnicionarían
guarnicionarias	guarnicionarías
guarnicionasemos	guarnicionásemos
guarnicioneis	guarnicionéis
guarniendose	guarniéndose
guarnieramos	guarniéramos
guarnieremos	guarniéremos
guarniesemos	guarniésemos
guarnio	guarnió
guarnira	guarnirá
guarniran	guarnirán
guarniras	guarnirás
guarnire	guarniré
guarnireis	guarniréis
guarniria	guarniría
guarniriais	guarniríais
guarniriamos	guarniríamos
guarnirian	guarnirían
guarnirias	guarnirías
guarnis	guarnís
guarreabamos	guarreábamos
guarreais	guarreáis
guarreandose	guarreándose
guarrearamos	guarreáramos
guarrearia	guarrearía
guarreariais	guarrearíais
guarreariamos	guarrearíamos
guarrearian	guarrearían
guarrearias	guarrearías
guarreasemos	guarreásemos
guarreeis	guarreéis
guaseabamos	guaseábamos
guaseais	guaseáis
guaseandose	guaseándose
guasearamos	guaseáramos
guasearia	guasearía
guaseariais	guasearíais
guaseariamos	guasearíamos
guasearian	guasearían
guasearias	guasearías
guaseasemos	guaseásemos
guaseeis	guaseéis
guayabamos	guayábamos
guayacan	guayacán
guayais	guayáis
guayandose	guayándose
guayaramos	guayáramos
guayaria	guayaría
guayariais	guayaríais
guayariamos	guayaríamos
guayarian	guayarían
guayarias	guayarías
guayasemos	guayásemos
guayeis	guayéis
guelfa	güelfa
guelfas	güelfas
guelfo	güelfo
guelfos	güelfos
guera	güera
gueras	güeras
guero	güero
gueros	güeros
guerreabamos	guerreábamos
guerreais	guerreáis
guerreandose	guerreándose
guerrearamos	guerreáramos
guerrearia	guerrearía
guerreariais	guerrearíais
guerreariamos	guerrearíamos
guerrearian	guerrearían
guerrearias	guerrearías
guerreasemos	guerreásemos
guerreeis	guerreéis
guerrilleabamos	guerrilleábamos
guerrilleais	guerrilleáis
guerrilleandose	guerrilleándose
guerrillearamos	guerrilleáramos
guerrillearia	guerrillearía
guerrilleariais	guerrillearíais
guerrilleariamos	guerrillearíamos
guerrillearian	guerrillearían
guerrillearias	guerrillearías
guerrilleasemos	guerrilleásemos
guerrilleeis	guerrilleéis
guia	guía
guiabamos	guiábamos
guiame	guíame
guian	guían
guiandola	guiándola
guiandolas	guiándolas
guiandole	guiándole
guiandoles	guiándoles
guiandolo	guiándolo
guiandolos	guiándolos
guiandome	guiándome
guiandonos	guiándonos
guiandoos	guiándoos
guiandose	guiándose
guiandote	guiándote
guianos	guíanos
guiaramos	guiáramos
guiaria	guiaría
guiariais	guiaríais
guiariamos	guiaríamos
guiarian	guiarían
guiarias	guiarías
guias	guías
guiasemos	guiásemos
guiate	guíate
guiemonos	guiémonos
guien	guíen
guiense	guíense
guies	guíes
guiese	guíese
guillabamos	guillábamos
guillais	guilláis
guillandose	guillándose
guillaramos	guilláramos
guillaria	guillaría
guillariais	guillaríais
guillariamos	guillaríamos
guillarian	guillarían
guillarias	guillarías
guillasemos	guillásemos
guilleis	guilléis
guillotinabamos	guillotinábamos
guillotinais	guillotináis
guillotinandose	guillotinándose
guillotinaramos	guillotináramos
guillotinaria	guillotinaría
guillotinariais	guillotinaríais
guillotinariamos	guillotinaríamos
guillotinarian	guillotinarían
guillotinarias	guillotinarías
guillotinasemos	guillotinásemos
guillotineis	guillotinéis
guinchabamos	guinchábamos
guinchais	guincháis
guinchandose	guinchándose
guincharamos	guincháramos
guincharia	guincharía
guinchariais	guincharíais
guinchariamos	guincharíamos
guincharian	guincharían
guincharias	guincharías
guinchasemos	guinchásemos
guincheis	guinchéis
guindabamos	guindábamos
guindais	guindáis
guindandose	guindándose
guindaramos	guindáramos
guindaria	guindaría
guindariais	guindaríais
guindariamos	guindaríamos
guindarian	guindarían
guindarias	guindarías
guindasemos	guindásemos
guindeis	guindéis
guiñabamos	guiñábamos
guiñais	guiñáis
guiñandole	guiñándole
guiñandoles	guiñándoles
guiñandome	guiñándome
guiñandonos	guiñándonos
guiñandoos	guiñándoos
guiñandose	guiñándose
guiñandote	guiñándote
guiñaramos	guiñáramos
guiñaria	guiñaría
guiñariais	guiñaríais
guiñariamos	guiñaríamos
guiñarian	guiñarían
guiñarias	guiñarías
guiñasemos	guiñásemos
guiñeis	guiñéis
guipabamos	guipábamos
guipais	guipáis
guipandose	guipándose
guiparamos	guipáramos
guiparia	guiparía
guipariais	guiparíais
guipariamos	guiparíamos
guiparian	guiparían
guiparias	guiparías
guipasemos	guipásemos
guipeis	guipéis
guipuzcoa	guipúzcoa
guira	güira
guiras	güiras
guirigais	guirigáis
guiro	güiro
guiros	güiros
guisabamos	guisábamos
guisais	guisáis
guisala	guísala
guisalas	guísalas
guisalo	guísalo
guisalos	guísalos
guisandose	guisándose
guisaramos	guisáramos
guisaria	guisaría
guisariais	guisaríais
guisariamos	guisaríamos
guisarian	guisarían
guisarias	guisarías
guisasemos	guisásemos
guiseis	guiséis
guisqui	güisqui
guisquis	güisquis
guitabamos	guitábamos
guitais	guitáis
guitandose	guitándose
guitaramos	guitáramos
guitaria	guitaría
guitariais	guitaríais
guitariamos	guitaríamos
guitarian	guitarían
guitarias	guitarías
guitasemos	guitásemos
guiteis	guitéis
guitoneabamos	guitoneábamos
guitoneais	guitoneáis
guitoneandose	guitoneándose
guitonearamos	guitoneáramos
guitonearia	guitonearía
guitoneariais	guitonearíais
guitoneariamos	guitonearíamos
guitonearian	guitonearían
guitonearias	guitonearías
guitoneasemos	guitoneásemos
guitoneeis	guitoneéis
guizgabamos	guizgábamos
guizgais	guizgáis
guizgandose	guizgándose
guizgaramos	guizgáramos
guizgaria	guizgaría
guizgariais	guizgaríais
guizgariamos	guizgaríamos
guizgarian	guizgarían
guizgarias	guizgarías
guizgasemos	guizgásemos
guizgueis	guizguéis
gulusmeabamos	gulusmeábamos
gulusmeais	gulusmeáis
gulusmeandose	gulusmeándose
gulusmearamos	gulusmeáramos
gulusmearia	gulusmearía
gulusmeariais	gulusmearíais
gulusmeariamos	gulusmearíamos
gulusmearian	gulusmearían
gulusmearias	gulusmearías
gulusmeasemos	gulusmeásemos
gulusmeeis	gulusmeéis
gurbion	gurbión
gurruñabamos	gurruñábamos
gurruñais	gurruñáis
gurruñandose	gurruñándose
gurruñaramos	gurruñáramos
gurruñaria	gurruñaría
gurruñariais	gurruñaríais
gurruñariamos	gurruñaríamos
gurruñarian	gurruñarían
gurruñarias	gurruñarías
gurruñasemos	gurruñásemos
gurruñeis	gurruñéis
guru	gurú
gurues	gurúes
gurus	gurús
gusaneabamos	gusaneábamos
gusaneais	gusaneáis
gusaneandose	gusaneándose
gusanearamos	gusaneáramos
gusanearia	gusanearía
gusaneariais	gusanearíais
gusaneariamos	gusanearíamos
gusanearian	gusanearían
gusanearias	gusanearías
gusaneasemos	gusaneásemos
gusaneeis	gusaneéis
gustabamos	gustábamos
gustacion	gustación
gustais	gustáis
gustandole	gustándole
gustandoles	gustándoles
gustandome	gustándome
gustandonos	gustándonos
gustandoos	gustándoos
gustandose	gustándose
gustandote	gustándote
gustaramos	gustáramos
gustaria	gustaría
gustariais	gustaríais
gustariamos	gustaríamos
gustarian	gustarían
gustarias	gustarías
gustasemos	gustásemos
gusteis	gustéis
gustele	gústele
gusteles	gústeles
gusteme	gústeme
gustenle	gústenle
gustenles	gústenles
gustenme	gústenme
gustennos	gústennos
gustenos	gústenos
gutierrez	gutiérrez
gutifera	gutífera
gutiferas	gutíferas
gutifero	gutífero
gutiferos	gutíferos
guyanes	guyanés
guzman	guzmán
habeis	habéis
haberio	haberío
haberios	haberíos
habermela	habérmela
habermelas	habérmelas
habermelo	habérmelo
habermelos	habérmelos
habernosla	habérnosla
habernoslas	habérnoslas
habernoslo	habérnoslo
habernoslos	habérnoslos
haberosla	habérosla
haberoslas	habéroslas
haberoslo	habéroslo
haberoslos	habéroslos
habersela	habérsela
haberselas	habérselas
haberselo	habérselo
haberselos	habérselos
habertela	habértela
habertelas	habértelas
habertelo	habértelo
habertelos	habértelos
habia	había
habiais	habíais
habiamos	habíamos
habian	habían
habias	habías
habiendola	habiéndola
habiendolas	habiéndolas
habiendole	habiéndole
habiendoles	habiéndoles
habiendolo	habiéndolo
habiendolos	habiéndolos
habiendome	habiéndome
habiendomela	habiéndomela
